query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,6.6,32.6,107.3,934.7,50.8,47.6,699.6,695.5,
1th,24.4,109.1,49.0,1334.1,21.9,18.7,257.3,256.5,
2th,697.6,694.8,111.9,1167.2,101.2,94.7,1175.1,1168.1,
3th,34.5,36.7,14.0,5310.6,13.3,7.4,5408.2,10.3,
4th,7.1,20.9,17.7,8291.9,16.8,9.4,8311.5,12.7,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
