[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 2000
[run#5] [num_results#01.sql] = 19
[run#5] [num_results#03.sql] = 19
[run#5] [num_results#04.sql] = 1000
[run#5] [num_results#02.sql] = 778644
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 691
[run#5] [mix_time#5] = 19808
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [execution_time#03.sql] = 13
[run#5] [resultset_traversal_time#02.sql] = 17020
[run#5] [execution_time#01.sql] = 249
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 5
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 13
[run#5] [execution_time#02.sql] = 1179
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 638
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 2000
[run#4] [num_results#01.sql] = 14
[run#4] [num_results#03.sql] = 19
[run#4] [num_results#04.sql] = 1000
[run#4] [num_results#02.sql] = 778644
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 19754
[run#4] [execution_time#00.sql] = 690
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [execution_time#03.sql] = 10
[run#4] [resultset_traversal_time#02.sql] = 16963
[run#4] [execution_time#01.sql] = 252
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 4
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 10
[run#4] [execution_time#02.sql] = 1168
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 657
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 2000
[run#7] [num_results#01.sql] = 7
[run#7] [num_results#03.sql] = 19
[run#7] [num_results#04.sql] = 1000
[run#7] [num_results#02.sql] = 778644
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 690
[run#7] [resultset_traversal_time#00.sql] = 0
[run#7] [mix_time#7] = 19837
[run#7] [execution_time#03.sql] = 11
[run#7] [resultset_traversal_time#02.sql] = 17140
[run#7] [execution_time#01.sql] = 253
[run#7] [rewriting_time#02.sql] = 0
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#03.sql] = 0
[run#7] [resultset_traversal_time#04.sql] = 3
[run#7] [unfolding_time#01.sql] = 0
[run#7] [rewriting_time#03.sql] = 0
[run#7] [execution_time#04.sql] = 13
[run#7] [execution_time#02.sql] = 1066
[run#7] [unfolding_time#04.sql] = 0
[run#7] [resultset_traversal_time#01.sql] = 660
[run#7] [rewriting_time#01.sql] = 0
[run#7] [resultset_traversal_time#03.sql] = 1
[run#7] [unfolding_time#00.sql] = 0
[run#7] [unfolding_time#02.sql] = 0
[run#6] [num_results#00.sql] = 2000
[run#6] [num_results#01.sql] = 4
[run#6] [num_results#03.sql] = 19
[run#6] [num_results#04.sql] = 1000
[run#6] [num_results#02.sql] = 778644
[run#6] [rewriting_time#04.sql] = 0
[run#6] [execution_time#00.sql] = 696
[run#6] [resultset_traversal_time#00.sql] = 0
[run#6] [mix_time#6] = 20145
[run#6] [execution_time#03.sql] = 8
[run#6] [resultset_traversal_time#02.sql] = 17343
[run#6] [execution_time#01.sql] = 258
[run#6] [rewriting_time#02.sql] = 0
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#03.sql] = 0
[run#6] [resultset_traversal_time#04.sql] = 6
[run#6] [unfolding_time#01.sql] = 0
[run#6] [rewriting_time#03.sql] = 0
[run#6] [execution_time#04.sql] = 9
[run#6] [execution_time#02.sql] = 1168
[run#6] [unfolding_time#04.sql] = 0
[run#6] [resultset_traversal_time#01.sql] = 657
[run#6] [rewriting_time#01.sql] = 0
[run#6] [resultset_traversal_time#03.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#6] [unfolding_time#02.sql] = 0
[run#1] [num_results#00.sql] = 2000
[run#1] [num_results#01.sql] = 4
[run#1] [num_results#03.sql] = 19
[run#1] [num_results#04.sql] = 1000
[run#1] [num_results#02.sql] = 778644
[run#1] [rewriting_time#04.sql] = 0
[run#1] [execution_time#00.sql] = 696
[run#1] [resultset_traversal_time#00.sql] = 0
[run#1] [execution_time#03.sql] = 12
[run#1] [resultset_traversal_time#02.sql] = 16945
[run#1] [execution_time#01.sql] = 258
[run#1] [rewriting_time#02.sql] = 0
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#03.sql] = 0
[run#1] [resultset_traversal_time#04.sql] = 10
[run#1] [unfolding_time#01.sql] = 0
[run#1] [rewriting_time#03.sql] = 0
[run#1] [execution_time#04.sql] = 23
[run#1] [execution_time#02.sql] = 1125
[run#1] [unfolding_time#04.sql] = 0
[run#1] [resultset_traversal_time#01.sql] = 654
[run#1] [rewriting_time#01.sql] = 0
[run#1] [resultset_traversal_time#03.sql] = 0
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 19723
[run#1] [unfolding_time#02.sql] = 0
[run#0] [num_results#00.sql] = 2000
[run#0] [num_results#01.sql] = 8
[run#0] [num_results#03.sql] = 19
[run#0] [num_results#04.sql] = 1000
[run#0] [num_results#02.sql] = 778644
[run#0] [rewriting_time#04.sql] = 0
[run#0] [execution_time#00.sql] = 696
[run#0] [resultset_traversal_time#00.sql] = 2
[run#0] [execution_time#03.sql] = 8
[run#0] [resultset_traversal_time#02.sql] = 16831
[run#0] [execution_time#01.sql] = 256
[run#0] [rewriting_time#02.sql] = 0
[run#0] [rewriting_time#00.sql] = 0
[run#0] [unfolding_time#03.sql] = 0
[run#0] [resultset_traversal_time#04.sql] = 5
[run#0] [unfolding_time#01.sql] = 0
[run#0] [rewriting_time#03.sql] = 0
[run#0] [execution_time#04.sql] = 11
[run#0] [execution_time#02.sql] = 1186
[run#0] [unfolding_time#04.sql] = 0
[run#0] [resultset_traversal_time#01.sql] = 654
