[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 10000
[run#5] [num_results#01.sql] = 5510
[run#5] [num_results#03.sql] = 0
[run#5] [num_results#04.sql] = 318072
[run#5] [num_results#02.sql] = 0
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 17
[run#5] [mix_time#5] = 5250
[run#5] [resultset_traversal_time#00.sql] = 14
[run#5] [execution_time#03.sql] = 7
[run#5] [resultset_traversal_time#02.sql] = 0
[run#5] [execution_time#01.sql] = 181
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 4791
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 221
[run#5] [execution_time#02.sql] = 15
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 4
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 10000
[run#4] [num_results#01.sql] = 5510
[run#4] [num_results#03.sql] = 0
[run#4] [num_results#04.sql] = 318072
[run#4] [num_results#02.sql] = 0
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 5315
[run#4] [execution_time#00.sql] = 21
[run#4] [resultset_traversal_time#00.sql] = 14
[run#4] [execution_time#03.sql] = 4
[run#4] [resultset_traversal_time#02.sql] = 0
[run#4] [execution_time#01.sql] = 251
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 4790
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 213
[run#4] [execution_time#02.sql] = 16
