[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 100000
[run#5] [num_results#01.sql] = 38735
[run#5] [num_results#03.sql] = 36
[run#5] [num_results#04.sql] = 291010
[run#5] [num_results#02.sql] = 778644
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 13293
[run#5] [mix_time#5] = 237464
[run#5] [resultset_traversal_time#00.sql] = 131
[run#5] [execution_time#03.sql] = 47387
[run#5] [resultset_traversal_time#02.sql] = 156082
[run#5] [execution_time#01.sql] = 7348
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 4924
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 5116
[run#5] [execution_time#02.sql] = 3156
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 27
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 100000
[run#4] [num_results#01.sql] = 38735
[run#4] [num_results#03.sql] = 36
[run#4] [num_results#04.sql] = 291010
[run#4] [num_results#02.sql] = 778644
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 231648
[run#4] [execution_time#00.sql] = 12544
[run#4] [resultset_traversal_time#00.sql] = 130
[run#4] [execution_time#03.sql] = 46773
[run#4] [resultset_traversal_time#02.sql] = 151800
[run#4] [execution_time#01.sql] = 7124
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 4943
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 5073
[run#4] [execution_time#02.sql] = 3235
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 26
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 100000
[run#7] [num_results#01.sql] = 38735
[run#7] [num_results#03.sql] = 36
[run#7] [num_results#04.sql] = 291010
[run#7] [num_results#02.sql] = 778644
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 13083
[run#7] [resultset_traversal_time#00.sql] = 144
[run#7] [mix_time#7] = 238810
[run#7] [execution_time#03.sql] = 47874
