[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 100000
[run#5] [num_results#01.sql] = 38735
[run#5] [num_results#03.sql] = 36
[run#5] [num_results#04.sql] = 291010
[run#5] [num_results#02.sql] = 778644
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 14431
[run#5] [mix_time#5] = 296197
[run#5] [resultset_traversal_time#00.sql] = 133
[run#5] [execution_time#03.sql] = 48295
[run#5] [resultset_traversal_time#02.sql] = 153331
[run#5] [execution_time#01.sql] = 7267
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 1681
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 67487
[run#5] [execution_time#02.sql] = 3528
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 44
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 100000
[run#4] [num_results#01.sql] = 38735
[run#4] [num_results#03.sql] = 36
[run#4] [num_results#04.sql] = 291010
[run#4] [num_results#02.sql] = 778644
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 312531
[run#4] [execution_time#00.sql] = 19451
[run#4] [resultset_traversal_time#00.sql] = 152
[run#4] [execution_time#03.sql] = 51484
[run#4] [resultset_traversal_time#02.sql] = 160239
[run#4] [execution_time#01.sql] = 7481
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 1787
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 68001
[run#4] [execution_time#02.sql] = 3900
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 36
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 100000
[run#7] [num_results#01.sql] = 38735
[run#7] [num_results#03.sql] = 36
[run#7] [num_results#04.sql] = 291010
[run#7] [num_results#02.sql] = 778644
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 14665
[run#7] [resultset_traversal_time#00.sql] = 129
[run#7] [mix_time#7] = 298225
[run#7] [execution_time#03.sql] = 47516
