[GLOBAL]
[main] [load-time] = 0
[thread#0]
[run#5] [num_results#00.sql] = 2000
[run#5] [num_results#01.sql] = 8
[run#5] [num_results#03.sql] = 36
[run#5] [num_results#04.sql] = 1000
[run#5] [num_results#02.sql] = 0
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 34
[run#5] [mix_time#5] = 233
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [execution_time#03.sql] = 32
[run#5] [resultset_traversal_time#02.sql] = 0
[run#5] [execution_time#01.sql] = 37
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 4
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 9
[run#5] [execution_time#02.sql] = 99
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 18
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 2000
[run#4] [num_results#01.sql] = 12
[run#4] [num_results#03.sql] = 36
[run#4] [num_results#04.sql] = 1000
[run#4] [num_results#02.sql] = 0
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 247
[run#4] [execution_time#00.sql] = 40
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [execution_time#03.sql] = 34
[run#4] [resultset_traversal_time#02.sql] = 0
[run#4] [execution_time#01.sql] = 44
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 6
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 10
[run#4] [execution_time#02.sql] = 101
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 12
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 2000
[run#7] [num_results#01.sql] = 196
[run#7] [num_results#03.sql] = 36
[run#7] [num_results#04.sql] = 1000
[run#7] [num_results#02.sql] = 0
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 35
[run#7] [resultset_traversal_time#00.sql] = 1
[run#7] [mix_time#7] = 256
[run#7] [execution_time#03.sql] = 40
[run#7] [resultset_traversal_time#02.sql] = 0
[run#7] [execution_time#01.sql] = 46
[run#7] [rewriting_time#02.sql] = 0
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#03.sql] = 0
[run#7] [resultset_traversal_time#04.sql] = 6
[run#7] [unfolding_time#01.sql] = 0
[run#7] [rewriting_time#03.sql] = 0
[run#7] [execution_time#04.sql] = 8
[run#7] [execution_time#02.sql] = 102
[run#7] [unfolding_time#04.sql] = 0
[run#7] [resultset_traversal_time#01.sql] = 18
[run#7] [rewriting_time#01.sql] = 0
[run#7] [resultset_traversal_time#03.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#7] [unfolding_time#02.sql] = 0
[run#6] [num_results#00.sql] = 2000
[run#6] [num_results#01.sql] = 12
[run#6] [num_results#03.sql] = 36
[run#6] [num_results#04.sql] = 1000
[run#6] [num_results#02.sql] = 0
[run#6] [rewriting_time#04.sql] = 0
[run#6] [execution_time#00.sql] = 34
[run#6] [resultset_traversal_time#00.sql] = 0
[run#6] [mix_time#6] = 255
[run#6] [execution_time#03.sql] = 43
[run#6] [resultset_traversal_time#02.sql] = 1
[run#6] [execution_time#01.sql] = 45
[run#6] [rewriting_time#02.sql] = 0
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#03.sql] = 0
[run#6] [resultset_traversal_time#04.sql] = 4
[run#6] [unfolding_time#01.sql] = 0
[run#6] [rewriting_time#03.sql] = 0
[run#6] [execution_time#04.sql] = 10
[run#6] [execution_time#02.sql] = 105
[run#6] [unfolding_time#04.sql] = 0
[run#6] [resultset_traversal_time#01.sql] = 13
[run#6] [rewriting_time#01.sql] = 0
[run#6] [resultset_traversal_time#03.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#6] [unfolding_time#02.sql] = 0
[run#1] [num_results#00.sql] = 2000
[run#1] [num_results#01.sql] = 12
[run#1] [num_results#03.sql] = 36
[run#1] [num_results#04.sql] = 1000
[run#1] [num_results#02.sql] = 0
[run#1] [rewriting_time#04.sql] = 0
[run#1] [execution_time#00.sql] = 36
[run#1] [resultset_traversal_time#00.sql] = 0
[run#1] [execution_time#03.sql] = 31
[run#1] [resultset_traversal_time#02.sql] = 0
[run#1] [execution_time#01.sql] = 45
[run#1] [rewriting_time#02.sql] = 0
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#03.sql] = 0
[run#1] [resultset_traversal_time#04.sql] = 6
[run#1] [unfolding_time#01.sql] = 0
[run#1] [rewriting_time#03.sql] = 0
[run#1] [execution_time#04.sql] = 12
[run#1] [execution_time#02.sql] = 105
[run#1] [unfolding_time#04.sql] = 0
[run#1] [resultset_traversal_time#01.sql] = 12
[run#1] [rewriting_time#01.sql] = 0
[run#1] [resultset_traversal_time#03.sql] = 0
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 247
[run#1] [unfolding_time#02.sql] = 0
[run#0] [num_results#00.sql] = 2000
[run#0] [num_results#01.sql] = 33
[run#0] [num_results#03.sql] = 36
[run#0] [num_results#04.sql] = 1000
[run#0] [num_results#02.sql] = 0
[run#0] [rewriting_time#04.sql] = 0
[run#0] [execution_time#00.sql] = 39
[run#0] [resultset_traversal_time#00.sql] = 3
[run#0] [execution_time#03.sql] = 32
[run#0] [resultset_traversal_time#02.sql] = 0
[run#0] [execution_time#01.sql] = 40
[run#0] [rewriting_time#02.sql] = 0
[run#0] [rewriting_time#00.sql] = 0
[run#0] [unfolding_time#03.sql] = 0
[run#0] [resultset_traversal_time#04.sql] = 6
[run#0] [unfolding_time#01.sql] = 0
[run#0] [rewriting_time#03.sql] = 0
[run#0] [execution_time#04.sql] = 13
[run#0] [execution_time#02.sql] = 119
[run#0] [unfolding_time#04.sql] = 0
[run#0] [resultset_traversal_time#01.sql] = 19
[run#0] [rewriting_time#01.sql] = 0
