[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 2000
[run#5] [num_results#01.sql] = 5510
[run#5] [num_results#03.sql] = 19
[run#5] [num_results#04.sql] = 318072
[run#5] [num_results#02.sql] = 0
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 44
[run#5] [mix_time#5] = 4168
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [execution_time#03.sql] = 6
[run#5] [resultset_traversal_time#02.sql] = 0
[run#5] [execution_time#01.sql] = 209
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 1377
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 2519
[run#5] [execution_time#02.sql] = 8
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 4
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 2000
[run#4] [num_results#01.sql] = 5510
[run#4] [num_results#03.sql] = 19
[run#4] [num_results#04.sql] = 318072
[run#4] [num_results#02.sql] = 0
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 4237
[run#4] [execution_time#00.sql] = 47
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [execution_time#03.sql] = 6
[run#4] [resultset_traversal_time#02.sql] = 0
[run#4] [execution_time#01.sql] = 250
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 1331
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 2592
[run#4] [execution_time#02.sql] = 7
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 4
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 2000
[run#7] [num_results#01.sql] = 5510
[run#7] [num_results#03.sql] = 19
[run#7] [num_results#04.sql] = 318072
[run#7] [num_results#02.sql] = 0
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 47
[run#7] [resultset_traversal_time#00.sql] = 1
[run#7] [mix_time#7] = 4090
[run#7] [execution_time#03.sql] = 8
[run#7] [resultset_traversal_time#02.sql] = 0
[run#7] [execution_time#01.sql] = 219
[run#7] [rewriting_time#02.sql] = 0
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#03.sql] = 0
[run#7] [resultset_traversal_time#04.sql] = 1309
[run#7] [unfolding_time#01.sql] = 0
[run#7] [rewriting_time#03.sql] = 0
[run#7] [execution_time#04.sql] = 2494
[run#7] [execution_time#02.sql] = 8
[run#7] [unfolding_time#04.sql] = 0
[run#7] [resultset_traversal_time#01.sql] = 4
[run#7] [rewriting_time#01.sql] = 0
[run#7] [resultset_traversal_time#03.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#7] [unfolding_time#02.sql] = 0
[run#6] [num_results#00.sql] = 2000
[run#6] [num_results#01.sql] = 5510
[run#6] [num_results#03.sql] = 19
[run#6] [num_results#04.sql] = 318072
[run#6] [num_results#02.sql] = 0
[run#6] [rewriting_time#04.sql] = 0
[run#6] [execution_time#00.sql] = 48
[run#6] [resultset_traversal_time#00.sql] = 0
[run#6] [mix_time#6] = 4186
[run#6] [execution_time#03.sql] = 8
[run#6] [resultset_traversal_time#02.sql] = 0
[run#6] [execution_time#01.sql] = 224
[run#6] [rewriting_time#02.sql] = 0
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#03.sql] = 0
[run#6] [resultset_traversal_time#04.sql] = 1391
[run#6] [unfolding_time#01.sql] = 0
[run#6] [rewriting_time#03.sql] = 0
[run#6] [execution_time#04.sql] = 2504
[run#6] [execution_time#02.sql] = 7
[run#6] [unfolding_time#04.sql] = 0
[run#6] [resultset_traversal_time#01.sql] = 4
[run#6] [rewriting_time#01.sql] = 0
[run#6] [resultset_traversal_time#03.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#6] [unfolding_time#02.sql] = 0
[run#1] [num_results#00.sql] = 2000
[run#1] [num_results#01.sql] = 5510
[run#1] [num_results#03.sql] = 19
[run#1] [num_results#04.sql] = 318072
[run#1] [num_results#02.sql] = 0
[run#1] [rewriting_time#04.sql] = 0
[run#1] [execution_time#00.sql] = 47
[run#1] [resultset_traversal_time#00.sql] = 0
[run#1] [execution_time#03.sql] = 10
[run#1] [resultset_traversal_time#02.sql] = 0
[run#1] [execution_time#01.sql] = 213
[run#1] [rewriting_time#02.sql] = 0
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#03.sql] = 0
[run#1] [resultset_traversal_time#04.sql] = 1412
[run#1] [unfolding_time#01.sql] = 0
[run#1] [rewriting_time#03.sql] = 0
[run#1] [execution_time#04.sql] = 2339
[run#1] [execution_time#02.sql] = 9
[run#1] [unfolding_time#04.sql] = 0
[run#1] [resultset_traversal_time#01.sql] = 5
[run#1] [rewriting_time#01.sql] = 0
[run#1] [resultset_traversal_time#03.sql] = 0
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 4035
[run#1] [unfolding_time#02.sql] = 0
[run#0] [num_results#00.sql] = 2000
[run#0] [num_results#01.sql] = 5510
[run#0] [num_results#03.sql] = 19
[run#0] [num_results#04.sql] = 318072
[run#0] [num_results#02.sql] = 0
[run#0] [rewriting_time#04.sql] = 0
[run#0] [execution_time#00.sql] = 60
[run#0] [resultset_traversal_time#00.sql] = 2
[run#0] [execution_time#03.sql] = 16
[run#0] [resultset_traversal_time#02.sql] = 0
[run#0] [execution_time#01.sql] = 328
[run#0] [rewriting_time#02.sql] = 0
[run#0] [rewriting_time#00.sql] = 0
[run#0] [unfolding_time#03.sql] = 0
[run#0] [resultset_traversal_time#04.sql] = 1405
[run#0] [unfolding_time#01.sql] = 0
[run#0] [rewriting_time#03.sql] = 0
[run#0] [execution_time#04.sql] = 2610
[run#0] [execution_time#02.sql] = 9
[run#0] [unfolding_time#04.sql] = 0
[run#0] [resultset_traversal_time#01.sql] = 8
