[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 2000
[run#5] [num_results#01.sql] = 25
[run#5] [num_results#03.sql] = 0
[run#5] [num_results#04.sql] = 318072
[run#5] [num_results#02.sql] = 0
[run#5] [rewriting_time#04.sql] = 0
[run#5] [execution_time#00.sql] = 64
[run#5] [mix_time#5] = 5416
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [execution_time#03.sql] = 8
[run#5] [resultset_traversal_time#02.sql] = 0
[run#5] [execution_time#01.sql] = 25
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#03.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 4999
[run#5] [unfolding_time#01.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#04.sql] = 308
[run#5] [execution_time#02.sql] = 10
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 1
[run#5] [rewriting_time#01.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 1
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#00.sql] = 2000
[run#4] [num_results#01.sql] = 25
[run#4] [num_results#03.sql] = 0
[run#4] [num_results#04.sql] = 318072
[run#4] [num_results#02.sql] = 0
[run#4] [rewriting_time#04.sql] = 0
[run#4] [mix_time#4] = 5060
[run#4] [execution_time#00.sql] = 49
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [execution_time#03.sql] = 5
[run#4] [resultset_traversal_time#02.sql] = 0
[run#4] [execution_time#01.sql] = 18
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#03.sql] = 0
[run#4] [resultset_traversal_time#04.sql] = 4817
[run#4] [unfolding_time#01.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#04.sql] = 161
[run#4] [execution_time#02.sql] = 9
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 1
[run#4] [rewriting_time#01.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#7] [num_results#00.sql] = 2000
[run#7] [num_results#01.sql] = 21
[run#7] [num_results#03.sql] = 0
[run#7] [num_results#04.sql] = 318072
[run#7] [num_results#02.sql] = 0
[run#7] [rewriting_time#04.sql] = 0
[run#7] [execution_time#00.sql] = 49
[run#7] [resultset_traversal_time#00.sql] = 0
[run#7] [mix_time#7] = 5127
[run#7] [execution_time#03.sql] = 4
[run#7] [resultset_traversal_time#02.sql] = 0
[run#7] [execution_time#01.sql] = 18
[run#7] [rewriting_time#02.sql] = 0
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#03.sql] = 0
[run#7] [resultset_traversal_time#04.sql] = 4864
[run#7] [unfolding_time#01.sql] = 0
[run#7] [rewriting_time#03.sql] = 0
[run#7] [execution_time#04.sql] = 183
[run#7] [execution_time#02.sql] = 9
[run#7] [unfolding_time#04.sql] = 0
[run#7] [resultset_traversal_time#01.sql] = 0
[run#7] [rewriting_time#01.sql] = 0
[run#7] [resultset_traversal_time#03.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#7] [unfolding_time#02.sql] = 0
[run#6] [num_results#00.sql] = 2000
[run#6] [num_results#01.sql] = 23
[run#6] [num_results#03.sql] = 0
[run#6] [num_results#04.sql] = 318072
[run#6] [num_results#02.sql] = 0
[run#6] [rewriting_time#04.sql] = 0
[run#6] [execution_time#00.sql] = 49
[run#6] [resultset_traversal_time#00.sql] = 0
[run#6] [mix_time#6] = 5250
[run#6] [execution_time#03.sql] = 4
[run#6] [resultset_traversal_time#02.sql] = 0
[run#6] [execution_time#01.sql] = 20
[run#6] [rewriting_time#02.sql] = 0
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#03.sql] = 0
[run#6] [resultset_traversal_time#04.sql] = 4977
[run#6] [unfolding_time#01.sql] = 0
[run#6] [rewriting_time#03.sql] = 0
[run#6] [execution_time#04.sql] = 191
[run#6] [execution_time#02.sql] = 9
[run#6] [unfolding_time#04.sql] = 0
[run#6] [resultset_traversal_time#01.sql] = 0
[run#6] [rewriting_time#01.sql] = 0
[run#6] [resultset_traversal_time#03.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#6] [unfolding_time#02.sql] = 0
[run#1] [num_results#00.sql] = 2000
[run#1] [num_results#01.sql] = 25
[run#1] [num_results#03.sql] = 0
[run#1] [num_results#04.sql] = 318072
[run#1] [num_results#02.sql] = 0
[run#1] [rewriting_time#04.sql] = 0
[run#1] [execution_time#00.sql] = 52
[run#1] [resultset_traversal_time#00.sql] = 0
[run#1] [execution_time#03.sql] = 11
[run#1] [resultset_traversal_time#02.sql] = 0
[run#1] [execution_time#01.sql] = 19
[run#1] [rewriting_time#02.sql] = 0
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#03.sql] = 0
[run#1] [resultset_traversal_time#04.sql] = 4978
[run#1] [unfolding_time#01.sql] = 0
[run#1] [rewriting_time#03.sql] = 0
[run#1] [execution_time#04.sql] = 401
[run#1] [execution_time#02.sql] = 10
[run#1] [unfolding_time#04.sql] = 0
[run#1] [resultset_traversal_time#01.sql] = 2
[run#1] [rewriting_time#01.sql] = 0
[run#1] [resultset_traversal_time#03.sql] = 1
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 5474
[run#1] [unfolding_time#02.sql] = 0
[run#0] [num_results#00.sql] = 2000
[run#0] [num_results#01.sql] = 5
[run#0] [num_results#03.sql] = 0
[run#0] [num_results#04.sql] = 318072
[run#0] [num_results#02.sql] = 0
[run#0] [rewriting_time#04.sql] = 0
[run#0] [execution_time#00.sql] = 78
[run#0] [resultset_traversal_time#00.sql] = 8
[run#0] [execution_time#03.sql] = 6
[run#0] [resultset_traversal_time#02.sql] = 0
[run#0] [execution_time#01.sql] = 48
[run#0] [rewriting_time#02.sql] = 0
[run#0] [rewriting_time#00.sql] = 0
[run#0] [unfolding_time#03.sql] = 0
[run#0] [resultset_traversal_time#04.sql] = 5211
[run#0] [unfolding_time#01.sql] = 0
[run#0] [rewriting_time#03.sql] = 0
[run#0] [execution_time#04.sql] = 673
[run#0] [execution_time#02.sql] = 12
[run#0] [unfolding_time#04.sql] = 0
[run#0] [resultset_traversal_time#01.sql] = 9
