[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#11.sql] = 0
[run#5] [num_results#00.sql] = 10000
[run#5] [num_results#01.sql] = 5510
[run#5] [num_results#02.sql] = 0
[run#5] [resultset_traversal_time#11.sql] = 1
[run#5] [execution_time#00.sql] = 20
[run#5] [mix_time#5] = 275
[run#5] [resultset_traversal_time#00.sql] = 16
[run#5] [resultset_traversal_time#02.sql] = 1
[run#5] [execution_time#01.sql] = 203
[run#5] [rewriting_time#02.sql] = 0
[run#5] [rewriting_time#00.sql] = 0
[run#5] [rewriting_time#11.sql] = 0
[run#5] [unfolding_time#01.sql] = 0
[run#5] [execution_time#02.sql] = 14
[run#5] [resultset_traversal_time#01.sql] = 6
[run#5] [rewriting_time#01.sql] = 0
[run#5] [unfolding_time#11.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#5] [execution_time#11.sql] = 14
[run#4] [num_results#11.sql] = 0
[run#4] [num_results#00.sql] = 10000
[run#4] [num_results#01.sql] = 5510
[run#4] [num_results#02.sql] = 0
[run#4] [resultset_traversal_time#11.sql] = 0
[run#4] [mix_time#4] = 262
[run#4] [execution_time#00.sql] = 21
[run#4] [resultset_traversal_time#00.sql] = 16
[run#4] [resultset_traversal_time#02.sql] = 0
[run#4] [execution_time#01.sql] = 191
[run#4] [rewriting_time#02.sql] = 0
[run#4] [rewriting_time#00.sql] = 0
[run#4] [rewriting_time#11.sql] = 0
[run#4] [unfolding_time#01.sql] = 0
[run#4] [execution_time#02.sql] = 15
[run#4] [resultset_traversal_time#01.sql] = 6
[run#4] [rewriting_time#01.sql] = 0
[run#4] [unfolding_time#11.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [unfolding_time#02.sql] = 0
[run#4] [execution_time#11.sql] = 13
[run#7] [num_results#11.sql] = 0
[run#7] [num_results#00.sql] = 10000
[run#7] [num_results#01.sql] = 5510
[run#7] [num_results#02.sql] = 0
[run#7] [resultset_traversal_time#11.sql] = 0
[run#7] [execution_time#00.sql] = 19
[run#7] [resultset_traversal_time#00.sql] = 16
[run#7] [mix_time#7] = 275
[run#7] [resultset_traversal_time#02.sql] = 0
[run#7] [execution_time#01.sql] = 198
[run#7] [rewriting_time#02.sql] = 0
[run#7] [rewriting_time#00.sql] = 0
[run#7] [rewriting_time#11.sql] = 0
[run#7] [unfolding_time#01.sql] = 0
[run#7] [execution_time#02.sql] = 16
[run#7] [resultset_traversal_time#01.sql] = 12
[run#7] [rewriting_time#01.sql] = 0
[run#7] [unfolding_time#11.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#7] [unfolding_time#02.sql] = 0
[run#7] [execution_time#11.sql] = 14
