[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 10000
[run#5] [num_results#01.sql] = 7235
[run#5] [unfolding_time#01.sql] = 0
[run#5] [execution_time#00.sql] = 38
[run#5] [mix_time#5] = 387
[run#5] [resultset_traversal_time#00.sql] = 25
[run#5] [resultset_traversal_time#01.sql] = 9
[run#5] [rewriting_time#01.sql] = 0
[run#5] [execution_time#01.sql] = 315
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#4] [num_results#00.sql] = 10000
[run#4] [num_results#01.sql] = 7235
[run#4] [unfolding_time#01.sql] = 0
[run#4] [mix_time#4] = 270
[run#4] [execution_time#00.sql] = 27
[run#4] [resultset_traversal_time#00.sql] = 20
[run#4] [resultset_traversal_time#01.sql] = 14
[run#4] [rewriting_time#01.sql] = 0
[run#4] [execution_time#01.sql] = 209
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#7] [num_results#00.sql] = 10000
[run#7] [num_results#01.sql] = 7235
[run#7] [unfolding_time#01.sql] = 0
[run#7] [execution_time#00.sql] = 31
[run#7] [resultset_traversal_time#00.sql] = 19
[run#7] [mix_time#7] = 267
[run#7] [resultset_traversal_time#01.sql] = 16
[run#7] [rewriting_time#01.sql] = 0
[run#7] [execution_time#01.sql] = 201
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#6] [num_results#00.sql] = 10000
[run#6] [num_results#01.sql] = 7235
[run#6] [unfolding_time#01.sql] = 0
[run#6] [execution_time#00.sql] = 25
[run#6] [resultset_traversal_time#00.sql] = 15
[run#6] [mix_time#6] = 229
[run#6] [resultset_traversal_time#01.sql] = 12
[run#6] [rewriting_time#01.sql] = 0
[run#6] [execution_time#01.sql] = 177
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#1] [num_results#00.sql] = 10000
[run#1] [num_results#01.sql] = 7235
[run#1] [unfolding_time#01.sql] = 0
[run#1] [execution_time#00.sql] = 32
[run#1] [resultset_traversal_time#00.sql] = 31
[run#1] [resultset_traversal_time#01.sql] = 12
[run#1] [rewriting_time#01.sql] = 0
[run#1] [execution_time#01.sql] = 209
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 284
[run#0] [num_results#00.sql] = 10000
[run#0] [num_results#01.sql] = 7235
[run#0] [unfolding_time#01.sql] = 0
[run#0] [execution_time#00.sql] = 47
[run#0] [resultset_traversal_time#00.sql] = 19
[run#0] [resultset_traversal_time#01.sql] = 22
[run#0] [rewriting_time#01.sql] = 0
[run#0] [execution_time#01.sql] = 308
[run#0] [rewriting_time#00.sql] = 0
[run#0] [mix_time#0] = 396
[run#0] [unfolding_time#00.sql] = 0
[run#3] [num_results#00.sql] = 10000
[run#3] [num_results#01.sql] = 7235
[run#3] [unfolding_time#01.sql] = 0
[run#3] [mix_time#3] = 284
[run#3] [execution_time#00.sql] = 32
[run#3] [resultset_traversal_time#00.sql] = 36
[run#3] [resultset_traversal_time#01.sql] = 15
[run#3] [rewriting_time#01.sql] = 0
[run#3] [execution_time#01.sql] = 201
[run#3] [rewriting_time#00.sql] = 0
[run#3] [unfolding_time#00.sql] = 0
[run#2] [num_results#00.sql] = 10000
[run#2] [num_results#01.sql] = 7235
[run#2] [unfolding_time#01.sql] = 0
[run#2] [execution_time#00.sql] = 34
[run#2] [resultset_traversal_time#00.sql] = 21
[run#2] [resultset_traversal_time#01.sql] = 9
[run#2] [rewriting_time#01.sql] = 0
[run#2] [execution_time#01.sql] = 409
[run#2] [rewriting_time#00.sql] = 0
[run#2] [unfolding_time#00.sql] = 0
[run#2] [mix_time#2] = 473
[run#9] [num_results#00.sql] = 10000
[run#9] [num_results#01.sql] = 7235
[run#9] [unfolding_time#01.sql] = 0
[run#9] [execution_time#00.sql] = 26
[run#9] [resultset_traversal_time#00.sql] = 20
[run#9] [mix_time#9] = 237
[run#9] [resultset_traversal_time#01.sql] = 8
[run#9] [rewriting_time#01.sql] = 0
[run#9] [execution_time#01.sql] = 183
[run#9] [rewriting_time#00.sql] = 0
[run#9] [unfolding_time#00.sql] = 0
[run#8] [num_results#00.sql] = 10000
[run#8] [num_results#01.sql] = 7235
[run#8] [unfolding_time#01.sql] = 0
[run#8] [execution_time#00.sql] = 27
[run#8] [resultset_traversal_time#00.sql] = 16
[run#8] [mix_time#8] = 237
[run#8] [resultset_traversal_time#01.sql] = 10
[run#8] [rewriting_time#01.sql] = 0
[run#8] [execution_time#01.sql] = 184
[run#8] [rewriting_time#00.sql] = 0
[run#8] [unfolding_time#00.sql] = 0
