[GLOBAL]
[main] [load-time] = 1
[thread#0]
[run#5] [num_results#00.sql] = 10000
[run#5] [num_results#01.sql] = 7235
[run#5] [unfolding_time#01.sql] = 0
[run#5] [execution_time#00.sql] = 77
[run#5] [mix_time#5] = 145
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 0
[run#5] [rewriting_time#01.sql] = 0
[run#5] [execution_time#01.sql] = 68
[run#5] [rewriting_time#00.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#4] [num_results#00.sql] = 10000
[run#4] [num_results#01.sql] = 7235
[run#4] [unfolding_time#01.sql] = 0
[run#4] [mix_time#4] = 155
[run#4] [execution_time#00.sql] = 81
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 0
[run#4] [rewriting_time#01.sql] = 0
[run#4] [execution_time#01.sql] = 74
[run#4] [rewriting_time#00.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#7] [num_results#00.sql] = 10000
[run#7] [num_results#01.sql] = 7235
[run#7] [unfolding_time#01.sql] = 0
[run#7] [execution_time#00.sql] = 70
[run#7] [resultset_traversal_time#00.sql] = 1
[run#7] [mix_time#7] = 138
[run#7] [resultset_traversal_time#01.sql] = 0
[run#7] [rewriting_time#01.sql] = 0
[run#7] [execution_time#01.sql] = 67
[run#7] [rewriting_time#00.sql] = 0
[run#7] [unfolding_time#00.sql] = 0
[run#6] [num_results#00.sql] = 10000
[run#6] [num_results#01.sql] = 7235
[run#6] [unfolding_time#01.sql] = 0
[run#6] [execution_time#00.sql] = 69
[run#6] [resultset_traversal_time#00.sql] = 1
[run#6] [mix_time#6] = 144
[run#6] [resultset_traversal_time#01.sql] = 0
[run#6] [rewriting_time#01.sql] = 0
[run#6] [execution_time#01.sql] = 74
[run#6] [rewriting_time#00.sql] = 0
[run#6] [unfolding_time#00.sql] = 0
[run#1] [num_results#00.sql] = 10000
[run#1] [num_results#01.sql] = 7235
[run#1] [unfolding_time#01.sql] = 0
[run#1] [execution_time#00.sql] = 70
[run#1] [resultset_traversal_time#00.sql] = 2
[run#1] [resultset_traversal_time#01.sql] = 0
[run#1] [rewriting_time#01.sql] = 0
[run#1] [execution_time#01.sql] = 69
[run#1] [rewriting_time#00.sql] = 0
[run#1] [unfolding_time#00.sql] = 0
[run#1] [mix_time#1] = 141
[run#0] [num_results#00.sql] = 10000
[run#0] [num_results#01.sql] = 7235
[run#0] [unfolding_time#01.sql] = 0
[run#0] [execution_time#00.sql] = 70
[run#0] [resultset_traversal_time#00.sql] = 3
[run#0] [resultset_traversal_time#01.sql] = 1
[run#0] [rewriting_time#01.sql] = 0
[run#0] [execution_time#01.sql] = 70
[run#0] [rewriting_time#00.sql] = 0
[run#0] [mix_time#0] = 144
[run#0] [unfolding_time#00.sql] = 0
[run#3] [num_results#00.sql] = 10000
[run#3] [num_results#01.sql] = 7235
[run#3] [unfolding_time#01.sql] = 0
[run#3] [mix_time#3] = 142
[run#3] [execution_time#00.sql] = 73
[run#3] [resultset_traversal_time#00.sql] = 0
[run#3] [resultset_traversal_time#01.sql] = 0
[run#3] [rewriting_time#01.sql] = 0
[run#3] [execution_time#01.sql] = 69
[run#3] [rewriting_time#00.sql] = 0
[run#3] [unfolding_time#00.sql] = 0
[run#2] [num_results#00.sql] = 10000
[run#2] [num_results#01.sql] = 7235
[run#2] [unfolding_time#01.sql] = 0
[run#2] [execution_time#00.sql] = 66
[run#2] [resultset_traversal_time#00.sql] = 1
[run#2] [resultset_traversal_time#01.sql] = 1
[run#2] [rewriting_time#01.sql] = 0
[run#2] [execution_time#01.sql] = 72
[run#2] [rewriting_time#00.sql] = 0
[run#2] [unfolding_time#00.sql] = 0
[run#2] [mix_time#2] = 140
[run#9] [num_results#00.sql] = 10000
[run#9] [num_results#01.sql] = 7235
[run#9] [unfolding_time#01.sql] = 0
[run#9] [execution_time#00.sql] = 67
[run#9] [resultset_traversal_time#00.sql] = 1
[run#9] [mix_time#9] = 138
[run#9] [resultset_traversal_time#01.sql] = 0
[run#9] [rewriting_time#01.sql] = 0
[run#9] [execution_time#01.sql] = 70
[run#9] [rewriting_time#00.sql] = 0
[run#9] [unfolding_time#00.sql] = 0
[run#8] [num_results#00.sql] = 10000
[run#8] [num_results#01.sql] = 7235
[run#8] [unfolding_time#01.sql] = 0
[run#8] [execution_time#00.sql] = 69
[run#8] [resultset_traversal_time#00.sql] = 1
[run#8] [mix_time#8] = 147
[run#8] [resultset_traversal_time#01.sql] = 0
[run#8] [rewriting_time#01.sql] = 0
[run#8] [execution_time#01.sql] = 77
[run#8] [rewriting_time#00.sql] = 0
[run#8] [unfolding_time#00.sql] = 0
