query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,1.3,3.0,9.8,847.4,7.7,7.3,707.4,704.2,
1th,16.7,52.0,30.2,1364.9,17.7,14.7,265.1,258.6,
2th,20.1,2683.6,983.8,5320.0,34.3,22.8,274.3,22.9,
3th,17.0,1459.3,62.4,2501.0,19.7,16.4,256.2,255.1,
4th,23.0,2893.6,86.0,2694.4,34.7,32.3,1519.0,1531.7,
5th,42.2,1019.7,915.1,3171.9,293.1,307.2,1909.7,1877.4,
6th,120.9,718.7,134.7,3687.1,9.9,9.5,573.7,569.6,
7th,47.5,2553.6,891.7,6785.7,608.9,630.5,5763.1,5733.5,
8th,30.4,6876.2,2422.6,4775.6,40.3,42.9,48.1,49.6,
9th,33.3,1401.6,1284.6,2456.3,2338.9,2514.9,887.4,910.2,
10th,24.9,36.8,17.1,5424.2,14.1,8.8,5440.9,9.0,
11th,2.0,2.3,12.6,19664.4,6.5,12.4,20665.5,20638.7,
12th,2.2,3.2,18.6,8847.9,15.6,7.4,8927.4,10.2,
