[GLOBAL]
[main] [load-time] = 0
[thread#0]
[run#5] [num_results#05.sql] = 39515
[run#5] [num_results#11.sql] = 12
[run#5] [num_results#00.sql] = 65
[run#5] [num_results#12.sql] = 73
[run#5] [num_results#01.sql] = 165
[run#5] [num_results#06.sql] = 1
[run#5] [num_results#03.sql] = 3230
[run#5] [num_results#04.sql] = 1821
[run#5] [num_results#02.sql] = 1255
[run#5] [rewriting_time#04.sql] = 0
[run#5] [resultset_traversal_time#11.sql] = 0
[run#5] [mix_time#5] = 5523763
[run#5] [execution_time#03.sql] = 25417
[run#5] [execution_time#07.sql] = 1200000
[run#5] [resultset_traversal_time#02.sql] = 7
[run#5] [execution_time#08.sql] = 1200000
[run#5] [rewriting_time#00.sql] = 0
[run#5] [execution_time#10.sql] = 1200000
[run#5] [unfolding_time#03.sql] = 0
[run#5] [execution_time#12.sql] = 2021
[run#5] [unfolding_time#12.sql] = 0
[run#5] [rewriting_time#05.sql] = 0
[run#5] [execution_time#06.sql] = 352813
[run#5] [execution_time#02.sql] = 8450
[run#5] [unfolding_time#04.sql] = 0
[run#5] [resultset_traversal_time#01.sql] = 0
[run#5] [rewriting_time#01.sql] = 0
[run#5] [unfolding_time#00.sql] = 0
[run#5] [resultset_traversal_time#05.sql] = 14254
[run#5] [execution_time#11.sql] = 39
[run#5] [execution_time#05.sql] = 288433
[run#5] [execution_time#00.sql] = 17
[run#5] [resultset_traversal_time#00.sql] = 0
[run#5] [rewriting_time#06.sql] = 0
[run#5] [execution_time#01.sql] = 5332
[run#5] [rewriting_time#02.sql] = 0
[run#5] [unfolding_time#05.sql] = 0
[run#5] [resultset_traversal_time#06.sql] = 0
[run#5] [resultset_traversal_time#04.sql] = 5758
[run#5] [rewriting_time#11.sql] = 0
[run#5] [unfolding_time#01.sql] = 0
[run#5] [unfolding_time#06.sql] = 0
[run#5] [rewriting_time#03.sql] = 0
[run#5] [execution_time#09.sql] = 1200000
[run#5] [execution_time#04.sql] = 21209
[run#5] [resultset_traversal_time#12.sql] = 0
[run#5] [unfolding_time#11.sql] = 0
[run#5] [resultset_traversal_time#03.sql] = 13
[run#5] [rewriting_time#12.sql] = 0
[run#5] [unfolding_time#02.sql] = 0
[run#4] [num_results#05.sql] = 82350
[run#4] [num_results#11.sql] = 12
[run#4] [num_results#00.sql] = 56
[run#4] [num_results#12.sql] = 64
[run#4] [num_results#01.sql] = 36
[run#4] [num_results#06.sql] = 45
[run#4] [num_results#03.sql] = 148
[run#4] [num_results#04.sql] = 0
[run#4] [num_results#02.sql] = 1071
[run#4] [rewriting_time#04.sql] = 0
[run#4] [resultset_traversal_time#11.sql] = 0
[run#4] [mix_time#4] = 5313462
[run#4] [execution_time#03.sql] = 9377
[run#4] [execution_time#07.sql] = 1200000
[run#4] [resultset_traversal_time#02.sql] = 5
[run#4] [execution_time#08.sql] = 1200000
[run#4] [rewriting_time#00.sql] = 0
[run#4] [execution_time#10.sql] = 1200000
[run#4] [unfolding_time#03.sql] = 0
[run#4] [execution_time#12.sql] = 1945
[run#4] [unfolding_time#12.sql] = 0
[run#4] [rewriting_time#05.sql] = 0
[run#4] [execution_time#06.sql] = 105
[run#4] [execution_time#02.sql] = 8454
[run#4] [unfolding_time#04.sql] = 0
[run#4] [resultset_traversal_time#01.sql] = 0
[run#4] [rewriting_time#01.sql] = 0
[run#4] [unfolding_time#00.sql] = 0
[run#4] [resultset_traversal_time#05.sql] = 16240
[run#4] [execution_time#11.sql] = 43
[run#4] [execution_time#05.sql] = 291939
[run#4] [execution_time#00.sql] = 16
[run#4] [resultset_traversal_time#00.sql] = 0
[run#4] [rewriting_time#06.sql] = 0
[run#4] [execution_time#01.sql] = 3056
[run#4] [rewriting_time#02.sql] = 0
[run#4] [unfolding_time#05.sql] = 0
[run#4] [resultset_traversal_time#06.sql] = 174195
[run#4] [resultset_traversal_time#04.sql] = 0
[run#4] [rewriting_time#11.sql] = 0
[run#4] [unfolding_time#01.sql] = 0
[run#4] [unfolding_time#06.sql] = 0
[run#4] [rewriting_time#03.sql] = 0
[run#4] [execution_time#09.sql] = 1200000
[run#4] [execution_time#04.sql] = 8087
[run#4] [resultset_traversal_time#12.sql] = 0
[run#4] [unfolding_time#11.sql] = 0
[run#4] [resultset_traversal_time#03.sql] = 0
[run#4] [rewriting_time#12.sql] = 0
