query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,1.2,2.9,10.1,818.6,7.4,5.8,693.6,696.2,
1th,16.4,52.8,32.3,1346.8,17.7,14.0,251.2,262.6,
2th,20.1,2845.2,1004.6,4885.9,32.2,21.2,267.0,21.3,
3th,16.9,1389.5,54.8,2453.8,19.9,15.5,265.7,266.1,
4th,22.6,2483.4,80.7,2594.9,32.4,30.9,1461.7,1445.9,
5th,42.1,949.9,926.9,3185.1,293.4,294.1,1852.9,1868.7,
6th,122.9,688.8,125.7,3698.5,9.2,8.3,534.5,529.5,
7th,49.4,2470.0,885.3,6765.9,615.1,606.1,5578.7,5577.3,
8th,32.3,7592.7,2392.5,4860.0,41.6,38.8,46.0,46.2,
9th,38.9,1349.1,1315.8,2429.5,2356.0,2343.5,908.3,902.6,
10th,26.3,33.8,16.5,5318.3,13.1,7.9,5406.3,8.2,
11th,1.8,1.7,12.2,16418.7,6.1,10.6,18742.2,19190.4,
12th,2.2,3.1,18.3,8399.7,15.0,6.3,8592.4,9.4,
