query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,28.4,64.4,21.3,1287.1,20.3,19.2,1269.3,1290.3,
1th,54.8,77.0,219.0,1020.0,247.6,194.3,1046.7,1014.1,
2th,690.0,711.9,64.0,1238.7,15.5,7.1,1234.5,1211.7,
3th,38.4,38.4,10.7,5590.1,5.7,7.6,5611.8,10.1,
4th,2900.2,10332.8,2515.3,7758.2,270.1,2280.9,839.0,2203.8,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
