query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,6.4,36.7,106.1,920.2,53.7,47.7,729.8,731.7,
1th,23.9,51.2,35.1,1336.8,23.1,230.1,274.5,1044.6,
2th,706.3,733.1,20.3,1209.5,9.8,7.9,1203.6,1193.7,
3th,35.9,39.4,8.2,5442.1,5.7,8.2,5425.2,10.2,
4th,3005.6,10980.9,2489.0,7790.1,278.8,2533.7,829.5,2453.8,
5th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
