query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,0.7,6.0,12.7,48160.4,25.2,7.8,38379.1,39594.5,
1th,596.2,8019.7,3222.8,80441.4,223.9,133.4,5372.3,5548.4,
2th,13.3,36593.8,5693.3,336368.2,182.3,14.9,6703.9,25.6,
3th,587.0,22468.5,8170.7,149645.5,185.6,149.9,5333.1,5423.7,
4th,1073.1,12492.2,8472.1,164901.9,1527.1,605.4,73113.7,75287.5,
5th,1800.1,79043.4,158868.7,308115.5,5131.2,5352.2,90996.1,88330.1,
6th,16532.1,81255.7,14955.7,299340.2,399.2,379.7,33004.7,33319.8,
7th,3161.4,114554.5,203633.6,485582.5,17.3,10.1,400854.1,397225.4,
8th,1914.2,1209522.5,419190.1,268192.3,6687.4,3294.5,18461.6,18769.6,
9th,2167.3,126812.2,322620.0,312969.1,10.3,5.5,191190.0,197684.6,
10th,1024.3,5165.6,617.4,343748.7,9.9,474.8,365793.6,751.6,
11th,1.6,4.7,15.8,1186968.4,12.3,4.9,1200321.5,1195694.2,
12th,2.2,44.4,2421.1,623406.2,986.8,12.8,628113.9,415.2,
