query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,1.0,2.4,8.6,105.3,7.5,6.4,95.1,96.7,
1th,3.6,16.9,8.5,156.1,8.1,7.0,96.4,85.6,
2th,15.8,64.4,701.5,1092.5,26.4,18.3,73.5,17.6,
3th,3.9,19.9,12.3,225.2,7.9,5.9,72.2,64.4,
4th,6.3,33.2,18.5,258.5,14.0,11.8,184.4,174.9,
5th,3.8,617.8,73.9,283.0,57.1,48.4,208.7,221.1,
6th,10.2,14.3,30.0,612.2,7.3,5.4,91.4,92.2,
7th,5.8,873.9,106.2,778.3,26.2,25.0,757.1,750.6,
8th,6.5,1849.5,263.2,437.1,10.6,11.1,11.1,11.1,
9th,5.7,1014.9,120.7,199.2,30.9,33.6,106.2,105.4,
10th,9.9,19.1,10.8,670.5,10.7,7.1,688.6,7.3,
11th,1.7,1.4,10.1,1994.0,10.1,8.5,1858.3,1905.2,
12th,1.6,2.9,9.7,1021.0,9.3,5.9,1114.3,6.2,
