query,sc1,sc2,hom,het,hom-opt,hom-opt-matv,het-opt,het-opt-matv,
0th,1.4,40.6,19.8,88651.5,17.2,12.2,76787.0,74706.7,
1th,983.5,11191.8,4052.2,151654.6,170.9,152.4,12271.0,12279.6,
2th,18.2,91129.2,8541.5,719621.3,148.7,27.3,13656.4,103.4,
3th,998.0,82591.1,14791.8,265323.3,166.4,156.9,12165.0,12251.9,
4th,1877.4,21794.8,17811.0,307773.5,974.7,959.8,133192.9,135246.1,
5th,4096.1,529579.7,275403.0,566714.2,9302.7,9252.6,203620.0,201795.8,
6th,28958.9,131001.0,236834.9,577109.2,665.9,674.5,59598.9,59293.0,
7th,6331.8,223407.9,1200000.0,1200000.0,154575.0,190654.2,679943.9,682539.1,
8th,4308.9,1206100.3,1200000.0,1200000.0,5155.2,5146.5,66063.3,67346.5,
9th,4921.9,213909.9,1200000.0,1200000.0,14.6,13.0,478514.3,481354.2,
10th,1805.2,18721.1,1200000.0,588221.2,209681.7,1094.9,617776.7,7437.2,
11th,2.9,152.4,35.9,1200313.6,79.5,16.8,1200320.0,1200318.7,
12th,3.5,982.0,2022.2,1085854.7,2016.5,30.5,1100496.7,794.7,
